Algorithm ID,gamma,learning_rate,ent_coef,tau
0,0.1,0.00025,0.01,0.075
1,0.2,5e-05,0.01,0.049999999999999996
2,0.2,0.00025,0.01,0.0075
3,0.2,0.0005,0.001,0.0025
4,0.3,0.0001,0.005,0.075
5,0.4,0.00025,0.005,0.049999999999999996
6,0.4,0.00075,0.0005,0.0025
7,0.4,0.001,0.005,0.0075
8,0.5,0.0005,0.005,0.075
9,0.5,0.001,0.005,0.001
10,0.6,0.0005,0.001,0.075
11,0.6,0.00075,0.005,0.049999999999999996
12,0.7,0.0001,0.001,0.0075
13,0.7,0.00075,0.005,0.075
14,0.7,0.00075,0.01,0.0075
15,0.8,7.5e-05,0.01,0.0025
16,0.8,0.00075,0.005,0.049999999999999996
17,0.9,0.0005,0.001,0.0075
18,0.95,0.00025,0.005,0.075
19,0.95,0.001,0.001,0.010000000000000002
