Algorithm ID,gamma,learning_rate,gae_lambda,ent_coef,vf_coef,clip_range,clip_range_vf,n_epochs
0,0.1,0.0005,0.9,0.001,0.4,0.2,0.15,5
1,0.2,0.00025,0.6,0.005,0.7,0.3,0.3,5
2,0.3,0.00025,0.3,0.0005,0.7,0.15,0.4,5
3,0.3,0.001,0.6,0.001,0.6,0.25,0.4,5
4,0.4,0.0005,0.2,0.005,0.25,0.2,0.4,5
5,0.4,0.0005,0.95,0.01,0.4,0.2,0.2,5
6,0.5,0.0005,0.4,0.005,0.75,0.15,0.1,5
7,0.5,0.001,0.8,0.001,0.5,0.35,0.1,5
8,0.6,0.00075,0.99,0.005,0.5,0.35,0.1,5
9,0.7,0.0001,0.3,0.005,0.4,0.1,0.4,5
10,0.7,0.0005,0.4,0.005,0.3,0.3,0.1,5
11,0.8,1e-05,0.2,0.01,0.5,0.15,0.3,5
12,0.8,0.00075,0.5,0.01,0.6,0.3,0.4,5
13,0.9,0.00075,0.7,0.01,0.6,0.35,0.15,5
14,0.95,0.00025,0.7,0.001,0.3,0.4,0.15,5
