Algorithm ID,gamma,learning_rate,gae_lambda,ent_coef,vf_coef,clip_range,clip_range_vf,n_epochs
0,0.1,0.0005,0.8,0.005,0.7,0.1,0.4,10
1,0.2,0.00075,0.4,0.001,0.5,0.35,0.35,10
2,0.2,0.00075,0.5,0.001,0.6,0.2,0.4,10
3,0.3,0.0005,0.9,0.01,0.5,0.1,0.4,10
4,0.3,0.00075,0.95,0.001,0.5,0.3,0.4,10
5,0.3,0.001,0.7,0.005,0.4,0.25,0.1,10
6,0.4,2.5000000000000005e-05,0.7,0.005,0.4,0.2,0.1,10
7,0.4,0.0005,0.3,0.001,0.4,0.25,0.15,10
8,0.5,0.00025,0.4,0.0001,0.25,0.35,0.4,10
9,0.5,0.00025,0.2,0.005,0.6,0.15,0.35,10
10,0.6,5e-05,0.2,0.005,0.3,0.3,0.35,10
11,0.6,0.00025,0.5,0.005,0.75,0.25,0.15,10
12,0.6,0.001,0.95,0.005,0.5,0.4,0.25,10
13,0.7,0.0001,0.8,0.01,0.6,0.2,0.1,10
14,0.7,0.00075,0.3,0.001,0.3,0.25,0.1,10
15,0.8,0.0005,0.3,0.01,0.6,0.15,0.1,10
16,0.8,0.00075,0.1,0.01,0.3,0.15,0.2,10
17,0.9,0.0005,0.6,0.01,0.7,0.3,0.4,10
18,0.9,0.00075,0.5,0.005,0.4,0.35,0.1,10
19,0.99,0.00025,0.6,0.005,0.7,0.4,0.1,10
